theta1,theta2,theta3,theta4,theta5,theta6,x,y,z,total_rotation
0.0,34.6,30.0,0.0,-64.6,0.0,13.69,-0.0,1.6,129.2
0.4,34.6,30.0,0.0,-64.6,0.0,13.69,0.1,1.6,129.6
0.8,34.6,30.0,0.0,-64.6,0.0,13.69,0.2,1.6,130.0
1.199,34.6,30.0,0.0,-64.6,0.0,13.69,0.3,1.6,130.4
1.6,34.6,30.0,0.0,-64.6,0.0,13.69,0.4,1.6,130.8
0.0,33.4,32.2,0.0,-65.6,0.0,13.8,-0.0,1.6,131.2
0.4,33.4,32.2,0.0,-65.6,0.0,13.8,0.1,1.6,131.6
0.8,33.4,32.2,0.0,-65.6,0.0,13.8,0.2,1.6,132.0
1.199,33.4,32.2,0.0,-65.6,0.0,13.8,0.3,1.6,132.4
1.399,33.4,32.2,0.0,-65.6,0.0,13.79,0.3,1.6,132.6
1.6,33.4,32.2,0.0,-65.6,0.0,13.79,0.4,1.6,132.8
0.0,30.6,37.4,0.0,-68.0,0.0,14.03,-0.0,1.6,136.0
0.0,30.8,37.0,0.0,-67.8,0.0,14.02,-0.0,1.6,135.6
0.4,30.6,37.4,0.0,-68.0,0.0,14.03,0.1,1.6,136.4
0.4,30.8,37.0,0.0,-67.8,0.0,14.02,0.1,1.6,136.0
0.8,30.6,37.4,0.0,-68.0,0.0,14.03,0.2,1.6,136.8
0.8,30.8,37.0,0.0,-67.8,0.0,14.02,0.2,1.6,136.5
1.199,30.6,37.4,0.0,-68.0,0.0,14.03,0.3,1.6,137.2
1.199,30.8,37.0,0.0,-67.8,0.0,14.02,0.3,1.6,136.8
1.399,30.8,37.0,0.0,-67.8,0.0,14.01,0.3,1.6,137.0
1.6,30.6,37.4,0.0,-68.0,0.0,14.03,0.4,1.6,137.6
1.6,30.8,37.0,0.0,-67.8,0.0,14.01,0.4,1.6,137.2
0.0,18.6,60.38,0.0,-79.0,0.0,14.71,-0.0,1.6,158.0
0.4,18.6,60.38,0.0,-79.0,0.0,14.71,0.1,1.6,158.4
0.8,18.6,60.38,0.0,-79.0,0.0,14.71,0.2,1.6,158.8
1.199,18.6,60.38,0.0,-79.0,0.0,14.71,0.3,1.6,159.2
1.399,18.6,60.38,0.0,-79.0,0.0,14.7,0.4,1.6,159.4
1.8,18.6,60.38,0.0,-79.0,0.0,14.7,0.5,1.6,159.8
0.0,0.8,96.2,0.0,-97.0,0.0,14.62,-0.0,1.6,194.0
0.4,0.8,96.2,0.0,-97.0,0.0,14.62,0.1,1.6,194.4
0.8,0.8,96.2,0.0,-97.0,0.0,14.62,0.2,1.6,194.8
